lakecode,lakename,latitude,longitude,continent,country,elevation,surface_area,mean_depth,max_depth,shoreline,contributor,alternate_lakenames,surface_area_source,mean_depth_source,max_depth_source,shoreline_source,elevation_google
xHJHF07,aegerisee,47.12,8.62,Europe,Switzerland,NA,7,48.5,83,NA,Harrie-Jan Hendricks Franssen,Aegerisee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,988.9
xNL001,atnsjøen,61.852,10.226,Europe,Norway,NA,5,NA,NA,19.38,Leif Asbjørn Vøllestad et al. 2021 - Dryad,Atnsjøen Lake,Norwegian Water Resources and Energy Directorate,,,Norwegian Water Resources and Energy Directorate,701
GAH1,auburn,44.1444,-70.25,North America,United States of America,NA,NA,NA,NA,NA,Julia Daly,Lake Auburn,,,,,112
xNL002,aursunden,62.68,11.462,Europe,Norway,NA,46.04,NA,52,102.98,Leif Asbjørn Vøllestad et al. 2021 - Dryad,Aursunden Lake,Norwegian Water Resources and Energy Directorate,,Norwegian Water Resources and Energy Directorate,,690
NG1,baikal,53.663,108.188,Asia,Russia,NA,31722,744,1642,NA,Nikolay Granin,LAKE BAIKAL;Lake Baikal (Listvyanka);Lake Baikal,Nikolay Granin,Nikolay Granin,Nikolay Granin,,5.7
xTAK01,balaton,46.9073,18.0448,Europe,Hungary,104,596,3,11.2,195,Takacs,Lake Balaton,LIAG,LIAG,LIAG,LIAG,104.9
xHJHF02,baldeggersee,47.2003,8.26,Europe,Switzerland,NA,5.3,33.1,66,NA,Harrie-Jan Hendricks Franssen,Baldeggersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,487.8
JJM33,bayfield,46.81,-90.81,North America,United States of America,182.88,NA,NA,NA,NA,John Magnuson,Bayfield,,,,,204.9
xHJHF09,bielersee,47.0811,7.1696,Europe,Switzerland,NA,39.8,31,74,NA,Harrie-Jan Hendricks Franssen,Bielersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,524
KMS2,brant,43.714,-73.706,North America,United States of America,243,5.492,9.1,18.3,NA,Kevin Rose,BRANT;Brant,LIAG,LIAG,LIAG,,335.9
LR2,cazenovia,42.951,-75.871,North America,United States of America,363,4.79,7.2,14.5,5.48,Lars Rudstam,Cazenovia Lake;CAZENOVIA,LIAG,LIAG,LIAG,LIAG,309.4
USGS1,champlain,44.306,-73.326,North America,United States of America,95,1127,19.5,122,944.7,Jason Stockwell,LAKE CHAMPLAIN;Champlain,LIAG,LIAG,LIAG,LIAG,56
GAH3,china,44.4339,-69.5456,North America,United States of America,NA,NA,NA,26,NA,Julia Daly,China Lake,,,LAKEPEDIA,,80.9
xKB0290,christmas,44.89707,-93.54321,North America,United States of America,NA,NA,NA,NA,NA,MN climatologist,Christmas (MN27013700),,,,,285.7
xKB0309,clear,44.08707,-93.48469,North America,United States of America,NA,NA,NA,NA,NA,MN climatologist,Clear (MN81001401),,,,,344.5
GAH4,cobbossee,44.2717,-69.9294,North America,United States of America,NA,NA,NA,NA,NA,Julia Daly,Cobbosseecontee Lake;Cobbossee Lake,,,,,88.7
GAH5,damariscotta,44.1825,-69.4792,North America,United States of America,15,17.5,NA,35,70.3,Julia Daly,Damariscotta Lake,LIAG,,LIAG,LIAG,64.6
MINN2,detroit,46.783,-95.933,North America,United States of America,406.6,13,4,25,20,Lesley Knoll,Detroit (MN03038100),LIAG,LAKEPEDIA,LIAG,LIAG,413.5
JJM27,geneva,42.568,-88.479,North America,United States of America,263.35,20.66,18.59,41.148,NA,Dale Robertson,LAKE GENEVA;Lake Geneva;Geneva,LIAG,LIAG,http://dnr.wi.gov/lakes/lakepages/LakeDetail.aspx?wbic=758300&page=facts,,299.6
GW512,gouta,65.60290617,15.52196705,Europe,Sweden,438.63333,31.5935,17.2,58,NA,Gesa Weyhenmeyer,GÃ–UTA,LIAG,LIAG,LIAG,,614.3
RAA3,grand_traverse_bay,44.77,-85.62,North America,United States of America,176.45,717.427,46,100,NA,Heather Smith,Grand Traverse Bay,http://www.gtbay.org/wp-content/uploads/2010/11/GTBWS_Facts.pdf,LIAG,LIAG,,168.3
MINN34,green,45.25231,-94.90525,North America,United States of America,352.35,23.56,NA,35.05,18.95319718,Ken Blumenfeld:Pete Boulay,Green (MN34007900);GREEN,LIAG,,LIAG,MNDNR,355.2
xHJHF05,greifensee,47.3478,8.6793,Europe,Switzerland,NA,8.5,17.8,32,NA,Harrie-Jan Hendricks Franssen,Greifensee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,491.9
xHJHF04,hallwilersee,47.2772,8.2173,Europe,Switzerland,NA,10.3,28,47,NA,Harrie-Jan Hendricks Franssen,Hallwilersee,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,Harrie-Jan Hendricks Franssen,,473.7
JK25,haukivesi,62.11,28.61,Europe,Finland,75.8,560,9.1,55,NA,Johanna Korhonen,HAUKIVESI;Haukivesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,77
PJD15,haystack_bay__lake_of_bays,45.283,-79.018,North America,Canada,315,70.581,NA,NA,NA,Huaxia Yao,"Haystack Bay, Lake of Bays",LIAG,,,,352.6
GAH9,houghtons_pond,42.2072,-71.0964,North America,United States of America,50,0.1,13,NA,NA,Julia Daly,Houghtons (Hoosicwhisick) Pond,LAKEPEDIA,LAKEPEDIA,,,42.3
JK02,kallavesi,62.83,27.77,Europe,Finland,81.8,316,9.7,75,NA,Johanna Korhonen,LAKE KALLAVESI (4079);Kallavesi,Johanna Korhonen,Johanna Korhonen,Johanna Korhonen,,83.1
GW369,kallsjon,63.568,12.977,Europe,Sweden,380.525,156.3551,40.1,102.825,NA,Gesa Weyhenmeyer,KALLSJÃ–N,LIAG,LIAG,LIAG,,420.3
xAM01,kempenfelt_bay,44.386,-79.614,North America,Canada,NA,NA,NA,NA,NA,Alex Mills,Kempenfelt Bay,,,,,225
GAH10,kezar,44.193,-70.901,North America,United States of America,NA,NA,NA,47.9,NA,Julia Daly,Kezar Lake,,,Julia Daly,,206
